season,episode,title,restaurant,latitude,longitude,rating,price,state
2,1,Totally Fried,Falafel's Drive-In,37.3361905,-121.8905833,4.0,$,California
2,1,Totally Fried,Ramona Café,33.0417112,-116.8680821,3.0,$$,California
2,1,Totally Fried,Silk City Diner,39.9527237,-75.1635262,4.0,$$,Pennsylvania
2,2,Route 66,Emma Jean's Holland Burger Café,34.5361067,-117.2911565,4.5,$,California
2,2,Route 66,The Rock Café,35.7477749,-96.6566742,4.0,$,Oklahoma
2,2,Route 66,Café on the Route,37.0236759,-94.7355042,4.0,,Kansas
2,3,Seaside Eats,Evelyn's Drive-In,41.6257406,-71.166333,3.0,$$,Rhode Island
2,3,Seaside Eats,Hodad's,32.7448067,-117.2476067,4.0,$$,California
2,3,Seaside Eats,Hodad's,32.7448067,-117.2476067,4.0,$$,California
2,3,Seaside Eats,Keegan's Seafood Grille,27.891338,-82.84518880012078,4.0,$$,Florida
2,4,Local Flavors,Clanton's Café,36.6387949,-95.1543297,4.0,$,Oklahoma
2,4,Local Flavors,Mike's Chili Parlor,47.6038321,-122.3300624,3.5,$,Washington
2,4,Local Flavors,Duarte's Tavern,23.369259,-110.172503,3.5,$$,California
2,5,Viewer's Choice,Bobby's Hawaiian Style Restaurant,47.9673056,-122.2013998,4.0,$$,Washington
2,5,Viewer's Choice,Ted Peters Famous Smoked Fish,27.7550276,-82.7376009,4.0,$$,Florida
2,5,Viewer's Choice,Psycho Suzie's Motor Lounge,44.9772995,-93.2654692,3.5,$$,Minnesota
2,6,Real Deal BBQ,Jay Bee's Bar-B-Que,33.8963593,-118.3053037,3.5,$$,California
2,6,Real Deal BBQ,Smoque,41.8755616,-87.6244212,4.5,$$,Illinois
2,6,Real Deal BBQ,BBQ Shack,38.5723318,-94.8786484,,,Kansas
2,6,Real Deal BBQ,BBQ Shack,38.5723318,-94.8786484,,,Kansas
2,7,Talkin' Turkey,Mike's City Diner,42.3602534,-71.0582912,4.0,$$,Massachusetts
2,7,Talkin' Turkey,Mike's City Diner,42.3602534,-71.0582912,4.0,$$,Massachusetts
2,7,Talkin' Turkey,Willie Bird's Restaurant,38.4404925,-122.7141049,3.5,$$,California
2,7,Talkin' Turkey,Alpine Steakhouse,27.3364347,-82.5306527,3.5,$$,Florida
2,7,Talkin' Turkey,Alpine Steakhouse,27.3364347,-82.5306527,3.5,$$,Florida
2,8,One of a Kind,JT Farnham's Seafood & Grill,42.6320389,-70.7828255,,,Massachusetts
2,8,One of a Kind,Joe's Gizzard City,42.629203,-84.738874,3.5,$$,Michigan
2,8,One of a Kind,Grubstake Diner,37.7790262,-122.4199061,3.5,$$,California
2,8,One of a Kind,Los Tapatios,37.3361905,-121.8905833,,,California
2,9,Family Owned,El Indio,32.7174209,-117.1627714,,,California
2,9,Family Owned,Charlie's Diner,42.2482063,-71.9938312,3.0,$$,Massachusetts
2,9,Family Owned,Paradise Pup,42.0415823,-87.8873916,4.5,$,Illinois
2,10,Open 24/7,Studio Diner,32.7174209,-117.1627714,3.5,$$,California
2,10,Open 24/7,White Palace Grill,41.8755616,-87.6244212,3.5,$$,Illinois
2,10,Open 24/7,The Dining Car,39.9527237,-75.1635262,3.5,$$,Pennsylvania
2,11,Off the Hook Specials,Schooner or Later,33.7690164,-118.1916048,3.5,$$,California
2,11,Off the Hook Specials,Schooner or Later,33.7690164,-118.1916048,3.5,$$,California
2,11,Off the Hook Specials,Grinders Pizza,39.100105,-94.5781416,4.0,$$,Missouri
2,11,Off the Hook Specials,The Fly Trap,42.4605917,-83.1346478,4.0,$$,Michigan
2,11,Off the Hook Specials,Galewood Cook Shack,41.8755616,-87.6244212,,,Illinois
2,12,"Burgers, Rings and Fries",Joe's Cable Car,37.7790262,-122.4199061,,,California
2,12,"Burgers, Rings and Fries",The Nook,44.9504037,-93.1015026,,,Minnesota
2,12,"Burgers, Rings and Fries",Krazy Jim's Blimpy Burger,42.2681569,-83.7312291,3.5,$,Michigan
2,13,The New Jersey Diner Tour,Mustache Bill's,39.7576202,-74.1062466,4.0,$$,New Jersey
2,13,The New Jersey Diner Tour,Mustache Bill's,39.7576202,-74.1062466,4.0,$$,New Jersey
2,13,The New Jersey Diner Tour,Tick Tock Diner,40.8584328,-74.1637553,2.5,$$,New Jersey
2,13,The New Jersey Diner Tour,White Manna Hamburgers,40.8871438,-74.0410865,,,New Jersey
2,13,The New Jersey Diner Tour,The Ritz Diner,40.7959335,-74.3148713,2.5,$$,New Jersey
2,13,The New Jersey Diner Tour,Hightstown Diner,40.2695538,-74.5232089,3.0,$,New Jersey
2,13,The New Jersey Diner Tour,Skylark Diner,40.5382375,-74.39451734508772,3.5,$$,New Jersey
2,13,The New Jersey Diner Tour,Jefferson Diner,40.904011,-74.665452,3.0,$$,New Jersey
3,1,Big Breakfast,Brownstone Diner,40.7281575,-74.0776417,,,New Jersey
3,1,Big Breakfast,39th Street Mama's,39.100105,-94.5781416,,,Missouri
3,1,Big Breakfast,Matt's Big Breakfast,33.4484367,-112.0741417,4.0,$$,Arizona
3,1,Big Breakfast,Matt's Big Breakfast,33.4484367,-112.0741417,4.0,$$,Arizona
3,2,Like Mama Made,Roberto's Mexican Food,33.4484367,-112.0741417,,,Arizona
3,2,Like Mama Made,Smokey Valley Truck Stop,38.3000809,-83.1740654,,,Kentucky
3,2,Like Mama Made,Sweetie Pie's,38.6529545,-90.24111656024635,,,Missouri
3,2,Like Mama Made,Sweetie Pie's,38.6529545,-90.24111656024635,,,Missouri
3,3,Regional Favorites,Charlie Parker's,39.7990175,-89.6439575,4.0,$,Illinois
3,3,Regional Favorites,Tecolote Café,35.6869996,-105.9377997,4.0,$$,New Mexico
3,3,Regional Favorites,Virginia Diner,36.9682101,-76.9896882,3.0,$$,Virginia
3,4,Neighborhood Joints,Thee Pitts Again,37.8115318,-107.6643647,3.0,$$,Arizona
3,4,Neighborhood Joints,Thee Pitts Again,37.8115318,-107.6643647,4.0,$$,Colorado
3,4,Neighborhood Joints,Iron Barley,38.6529545,-90.24111656024635,,,Missouri
3,4,Neighborhood Joints,Daddypops,40.1746252,-75.106825,4.0,$,Pennsylvania
3,4,Neighborhood Joints,The Village Café,37.5385087,-77.43428,3.5,$$,Virginia
3,5,A World of Flavors,Chino Bandido,33.4484367,-112.0741417,4.0,$,Arizona
3,5,A World of Flavors,Marietta Diner,33.9528472,-84.5496148,3.5,$$,Georgia
3,5,A World of Flavors,YJ's Snack Bar,39.100105,-94.5781416,4.0,,Missouri
3,6,Something Different,Scully's Tavern,25.7742658,-80.1936589,4.0,$$,Florida
3,6,Something Different,Scully's Tavern,25.7742658,-80.1936589,4.0,$$,Florida
3,6,Something Different,Dot's Back Inn,37.5385087,-77.43428,4.0,$$,Virginia
3,6,Something Different,Hillbilly Hot Dogs,38.5064731,-82.2984823,4.5,$$,West Virginia
3,6,Something Different,Hillbilly Hot Dogs,38.5064731,-82.2984823,4.5,$$,West Virginia
3,7,American Classics,11th Street Diner,25.7929198,-80.1353006,3.5,$$,Florida
3,7,American Classics,Bobo Drive-In,39.049011,-95.677556,4.0,$,Kansas
3,7,American Classics,Little Tea Shop,35.1490215,-90.0516285,4.5,$,Tennessee
3,8,Real Deal Fast Food,Panini Pete's,30.507956,-87.89742922432941,4.5,$,Alabama
3,8,Real Deal Fast Food,Joe's Farm Grill,33.3527632,-111.7890373,4.0,$$,Arizona
3,8,Real Deal Fast Food,Maria's Taco Express,30.2711286,-97.7436995,4.0,$,Texas
3,8,Real Deal Fast Food,Maria's Taco Express,30.2711286,-97.7436995,4.0,$,Texas
3,9,The Memphis BBQ Tour,Cozy Corner,35.1490215,-90.0516285,,,Tennessee
3,9,The Memphis BBQ Tour,Leonard's BBQ,35.1490215,-90.0516285,,,Tennessee
3,9,The Memphis BBQ Tour,Marlowe's Ribs,35.1490215,-90.0516285,,,Tennessee
3,9,The Memphis BBQ Tour,Tom's Bar-B-Q,35.1490215,-90.0516285,4.0,$$,Tennessee
3,9,The Memphis BBQ Tour,Tom's Bar-B-Q,35.1490215,-90.0516285,4.0,$$,Tennessee
3,10,Comfort Food,Grampa's Bakery & Restaurant,26.050783950000003,-80.14612392627231,3.5,$$,Florida
3,10,Comfort Food,Grampa's Bakery & Restaurant,26.050783950000003,-80.14612392627231,3.5,$$,Florida
3,10,Comfort Food,Blue Moon Café,39.2908816,-76.610759,4.0,$$,Maryland
3,10,Comfort Food,Central City Cafe,38.4192496,-82.445154,4.0,$,West Virginia
3,10,Comfort Food,Tip Top Café,29.4246002,-98.4951405,3.0,$$,Texas
3,11,Where The Locals Go,Matthews Cafeteria,33.8532701,-84.2200729,4.0,$,Georgia
3,11,Where The Locals Go,The Rivershack Tavern,29.8502657,-90.1293894,4.0,$$,Louisiana
3,11,Where The Locals Go,Monte Carlo Steak House,35.0841034,-106.6509851,4.0,$$,New Mexico
3,11,Where The Locals Go,Monte Carlo Steak House,35.0841034,-106.6509851,4.0,$$,New Mexico
3,12,All Kinds of BBQ,The Joint,29.9499323,-90.0701156,4.5,$$,Louisiana
3,12,All Kinds of BBQ,The Joint,29.9499323,-90.0701156,4.5,$$,Louisiana
3,12,All Kinds of BBQ,The Shed,30.4112904,-88.8279165,,,Mississippi
3,12,All Kinds of BBQ,Texas Pride BBQ,29.3930129,-98.2372329,3.5,$$,Texas
3,13,In the Family,Benny's Seafood Restaurant,25.707846699999997,-80.29563567682854,,,Florida
3,13,In the Family,Chaps Pit Beef,39.2908816,-76.610759,4.5,$,Maryland
3,13,In the Family,Chaps Pit Beef,39.2908816,-76.610759,4.5,$,Maryland
3,13,In the Family,Burger Bar,41.1617999,-112.0261903,4.0,$,Utah
4,1,Brain Freeze,Doumar's,36.8462923,-76.2929252,,,Virginia
4,1,Brain Freeze,Aunt Lena's Creamery,33.3062223,-111.8413317,,,Arizona
4,1,Brain Freeze,The Creole Creamery,29.9499323,-90.0701156,4.5,$,Louisiana
4,1,Brain Freeze,The Creole Creamery,29.9499323,-90.0701156,4.5,$,Louisiana
4,2,Diners You Sent Me To,Town Talk Diner,44.9772995,-93.2654692,4.5,$$,Minnesota
4,2,Diners You Sent Me To,Blue Plate Diner,40.7596198,-111.8867975,3.5,$$,Utah
4,2,Diners You Sent Me To,Broadway Diner,39.2908816,-76.610759,4.0,$$,Maryland
4,3,Bar Food,The Highlander,33.7490987,-84.3901849,3.5,$$,Georgia
4,3,Bar Food,The Highlander,33.7490987,-84.3901849,3.5,$$,Georgia
4,3,Bar Food,Gumbo Shack,30.507956,-87.89742922432941,,,Alabama
4,3,Bar Food,Starlite Lounge,40.4934017,-79.8606053,3.5,$,Pennsylvania
4,4,Burgers and Dogs,The Wienery,44.9772995,-93.2654692,4.0,$,Minnesota
4,4,Burgers and Dogs,Casino El Camino,30.2711286,-97.7436995,3.5,$$,Texas
4,4,Burgers and Dogs,G&A Restaurant,39.2908816,-76.610759,4.0,$,Maryland
4,5,Where the Locals Eat,Uncle Lou's,35.1490215,-90.0516285,,,Tennessee
4,5,Where the Locals Eat,Uncle Lou's,35.1490215,-90.0516285,,,Tennessee
4,5,Where the Locals Eat,Captain Chuck A Mucks,36.9959815,-76.5605083,,,Virginia
4,5,Where the Locals Eat,Dixie Quicks,41.2587459,-95.9383758,,,Nebraska
4,6,Totally Unexpected,Cabbage Town Market,33.7490987,-84.3901849,,,Georgia
4,6,Totally Unexpected,The Cove,29.4246002,-98.4951405,4.0,$$,Texas
4,6,Totally Unexpected,Bryant-Lake Bowl,44.9772995,-93.2654692,3.5,$$,Minnesota
4,7,A Taste of Everywhere,Jamaica Kitchen,25.70633095,-80.4068717788021,4.0,$$,Florida
4,7,A Taste of Everywhere,Crystal Restaurant,40.4416941,-79.9900861,,,Pennsylvania
4,7,A Taste of Everywhere,Red Iguana,40.7596198,-111.8867975,4.5,$$,Utah
4,8,Better Than Ever,Colonnade,33.7490987,-84.3901849,,,Georgia
4,8,Better Than Ever,Manci's Antique Club,30.6035255,-87.9036047,3.5,$$,Alabama
4,8,Better Than Ever,Amato's,41.2587459,-95.9383758,3.5,$,Nebraska
4,9,Big Flavor,Darwell's Café,30.3504751,-89.1528176,4.5,$$,Mississippi
4,9,Big Flavor,Brick Oven Pizza,39.2908816,-76.610759,3.0,$,Maryland
4,9,Big Flavor,Victor's 1959 Café,44.9772995,-93.2654692,4.0,$$,Minnesota
4,10,Cookin' It Old School,Nadine's Restaurant,40.4416941,-79.9900861,,,Pennsylvania
4,10,Cookin' It Old School,Nadine's Restaurant,40.4416941,-79.9900861,,,Pennsylvania
4,10,Cookin' It Old School,Casamento's Restaurant,29.9499323,-90.0701156,4.0,$$,Louisiana
4,10,Cookin' It Old School,Big Mama's Kitchen & Catering,41.2587459,-95.9383758,4.0,$$,Nebraska
4,11,Grabbin'a Sandwich,Moochie's Meatballs & More,40.7596198,-111.8867975,4.0,$$,Utah
4,11,Grabbin'a Sandwich,Cemitas Puebla,41.8755616,-87.6244212,3.5,$$,Illinois
4,11,Grabbin'a Sandwich,Tioli's Crazee Burger,32.7174209,-117.1627714,,,California
4,12,Traditional Dishes,Donatelli's,45.0838098,-93.0069304,4.0,$$,Minnesota
4,12,Traditional Dishes,Stoney Creek Inn,39.2908816,-76.610759,4.0,$$,Maryland
4,12,Traditional Dishes,Alcenia's,35.1490215,-90.0516285,,,Tennessee
4,13,Doin' Their Own Thing,Lone Star Taqueria,40.7596198,-111.8867975,4.0,$,Utah
4,13,Doin' Their Own Thing,Modern Café,44.9772995,-93.2654692,4.0,$,Minnesota
4,13,Doin' Their Own Thing,Brewburger's,41.2587459,-95.9383758,,,Nebraska
5,1,What's For Breakfast,Surrey's Café,29.9499323,-90.0701156,,,Louisiana
5,1,What's For Breakfast,Harry's Roadhouse,35.6869996,-105.9377997,4.0,$$,New Mexico
5,1,What's For Breakfast,Dor-Stop Restaurant,40.4416941,-79.9900861,4.0,$,Pennsylvania
5,2,Real Deal Italian,LoBello's Spaghetti House,40.5184013,-80.1667247,,,Pennsylvania
5,2,Real Deal Italian,Di Pasquale's,39.2908816,-76.610759,,,Maryland
5,2,Real Deal Italian,Pizzeria Luigi,32.7174209,-117.1627714,4.0,$$,California
5,2,Real Deal Italian,Pizzeria Luigi,32.7174209,-117.1627714,4.0,$$,California
5,3,Not What You'd Expect,Sophia's Place,35.0841034,-106.6509851,,,New Mexico
5,3,Not What You'd Expect,Magnolia Café,30.2711286,-97.7436995,3.5,$$,Texas
5,3,Not What You'd Expect,Glenn's Diner,41.8755616,-87.6244212,4.0,$$,Illinois
5,4,Places You Sent Me,Ruth's Diner,40.7596198,-111.8867975,4.0,$$,Utah
5,4,Places You Sent Me,Ruth's Diner,40.7596198,-111.8867975,4.0,$$,Utah
5,4,Places You Sent Me,O'Rourke's Diner,41.5623178,-72.6509061,4.0,$$,Connecticut
5,4,Places You Sent Me,Parasol's,29.9499323,-90.0701156,,,Louisiana
5,5,Long Time Legends,Tommy's Joynt,37.7790262,-122.4199061,4.0,$$,California
5,5,Long Time Legends,Tommy's Joynt,37.7790262,-122.4199061,4.0,$$,California
5,5,Long Time Legends,Joe Tess Place,41.2587459,-95.9383758,3.0,$$,Nebraska
5,5,Long Time Legends,Big Jim's,40.4416941,-79.9900861,,,Pennsylvania
5,6,Something from Everywhere,Valencia Luncheria,41.1175966,-73.4078968,4.0,$$,Connecticut
5,6,Something from Everywhere,Valencia Luncheria,41.1175966,-73.4078968,4.0,$$,Connecticut
5,6,Something from Everywhere,The Original Vito & Nick's Pizzeria,41.8755616,-87.6244212,4.0,$$,Illinois
5,6,Something from Everywhere,Emily's Lebanese Delicatessen,44.9772995,-93.2654692,4.0,$$,Minnesota
5,7,Neighborhood Favorites,Pat's BBQ,40.7596198,-111.8867975,3.5,$$,Utah
5,7,Neighborhood Favorites,Blow Fly Inn,30.3674198,-89.0928155,3.0,$$,Mississippi
5,7,Neighborhood Favorites,Tune-Up Café,35.6869996,-105.9377997,4.5,$$,New Mexico
5,8,Just Like Yesterday,Hob Nob Hill,32.7174209,-117.1627714,4.0,$$,California
5,8,Just Like Yesterday,The Silver Skillet,33.7490987,-84.3901849,3.5,$$,Georgia
5,8,Just Like Yesterday,Tufano's Vernon Park Tap,41.8755616,-87.6244212,4.0,$$,Illinois
5,9,Return to Route 66,Standard Diner,35.0841034,-106.6509851,4.0,$$,New Mexico
5,9,Return to Route 66,Dell Rhea's Chicken Basket,41.7697533,-87.9358931,3.5,$$,Illinois
5,9,Return to Route 66,Salsa Brava,35.1987522,-111.6518229,4.0,$$,Arizona
5,10,BBQ & More,Green Mesquite,30.2711286,-97.7436995,3.5,$$,Texas
5,10,BBQ & More,Gorilla BBQ,37.6138253,-122.4869194,4.0,$$,California
5,10,BBQ & More,Wilson's Holy Smoke BBQ,41.2943069,-73.37486,,,Connecticut
5,11,Regional Classics,Cecilia's Café,35.0841034,-106.6509851,4.0,$,New Mexico
5,11,Regional Classics,Joey K's Restaurant & Bar,29.9499323,-90.0701156,4.0,$$,Louisiana
5,11,Regional Classics,Joey K's Restaurant & Bar,29.9499323,-90.0701156,4.0,$$,Louisiana
5,11,Regional Classics,Kelly O's Diner,40.4416941,-79.9900861,4.0,$$,Pennsylvania
5,11,Regional Classics,Kelly O's Diner,40.4416941,-79.9900861,4.0,$$,Pennsylvania
5,12,All Kinds of Fast Food,Super Duper Weenie,41.2943069,-73.37486,4.0,$,Connecticut
5,12,All Kinds of Fast Food,California Tacos,41.2587459,-95.9383758,3.5,$,Nebraska
5,12,All Kinds of Fast Food,Bert's Burger Bowl,35.6869996,-105.9377997,,,New Mexico
5,13,Family Favorites,Giusti's,38.250307500000005,-121.50477362611842,4.0,$$,California
5,13,Family Favorites,Haus Murphy's,33.5386858,-112.1859941,4.0,$$,Arizona
5,13,Family Favorites,Haus Murphy's,33.5386858,-112.1859941,4.0,$$,Arizona
5,13,Family Favorites,Louie's,32.7762719,-96.7968559,3.5,$$,Texas
6,1,Funky Joints,Bizzaro Café,47.6038321,-122.3300624,,,Washington
6,1,Funky Joints,Chef Point Café,32.8579056,-97.2547371,,,Texas
6,1,Funky Joints,Jamie's Bar & Grill,38.5815719,-121.4943996,4.0,$$,California
6,2,Their Own Way,Bluewater Seafood Market & Grill,32.7174209,-117.1627714,4.0,$$,California
6,2,Their Own Way,Brandy's Restaurant & Bakery,35.1987522,-111.6518229,4.0,$$,Arizona
6,2,Their Own Way,Kuma's Corner,41.8755616,-87.6244212,4.0,$$,Illinois
6,3,A Little Bit of Everywhere,Bar Gernika,43.6166163,-116.200886,4.5,$$,Idaho
6,3,A Little Bit of Everywhere,Bar Gernika,43.6166163,-116.200886,4.5,$$,Idaho
6,3,A Little Bit of Everywhere,Café Rolle,38.5815719,-121.4943996,4.5,$$,California
6,3,A Little Bit of Everywhere,Havana Hideout,26.615891,-80.0691435,,,Florida
6,4,"A Burger, A Bowl and a Slice",La Piazza Al Forno,33.5386858,-112.1859941,4.0,$$,Arizona
6,4,"A Burger, A Bowl and a Slice",Slim's Last Chance Chili Shack & Watering Hole,47.6038321,-122.3300624,,,Washington
6,4,"A Burger, A Bowl and a Slice",Twisted Root Beer Co.,32.7762719,-96.7968559,,,Texas
6,5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Café",45.5202471,-122.6741949,4.0,$$,Oregon
6,5,"Biscuits, Bagels and BLTs",Bubba's Diner,37.9744323,-122.5615032,,,California
6,5,"Biscuits, Bagels and BLTs",Flakowitz of Boynton Bakery & Deli Restaurant,26.5256179,-80.0666026,,,Florida
6,6,Who'Da Thunk It,Backroad Pizza,35.6869996,-105.9377997,3.5,$$,New Mexico
6,6,Who'Da Thunk It,Jamaica Gates Caribbean Cuisine,32.701938999999996,-97.10562379033699,,,Texas
6,6,Who'Da Thunk It,Chef Lou's Westside Drive-In,43.6166163,-116.200886,3.5,$,Idaho
6,6,Who'Da Thunk It,Chef Lou's Westside Drive-In,43.6166163,-116.200886,3.5,$,Idaho
6,7,Go-To Joints,Black Duck Café,41.1414855,-73.3578955,3.0,$,Connecticut
6,7,Go-To Joints,Otto's Sausage Kitchen & Meat Market,45.5202471,-122.6741949,4.5,$,Oregon
6,7,Go-To Joints,Sol Food Puerto Rican Cuisine,37.9735346,-122.5310874,,,California
6,8,Homestyle,Giuseppe's Restaurant,33.4484367,-112.0741417,,,Arizona
6,8,Homestyle,Southern Kitchen Restaurant,47.2495798,-122.4398746,4.0,$$,Washington
6,8,Homestyle,Zia Diner & Angel Food Catering,35.6869996,-105.9377997,,,New Mexico
6,9,All Kinds of Classics,Blue Marlin Fish House Restaurant,25.9331488,-80.1625463,,,Florida
6,9,All Kinds of Classics,Fred's Texas Café,32.753177,-97.3327459,4.0,$$,Texas
6,9,All Kinds of Classics,Pine State Biscuits,45.5202471,-122.6741949,4.5,$,Oregon
6,9,All Kinds of Classics,Pine State Biscuits,45.5202471,-122.6741949,4.5,$,Oregon
6,10,All Over The Map,Georgia Greek Restaurant & Deli,47.6038321,-122.3300624,3.5,$$,Washington
6,10,All Over The Map,Los Tacquitos Grill,33.4484367,-112.0741417,,,Arizona
6,10,All Over The Map,Rocco's Café,37.7790262,-122.4199061,4.0,$$,California
6,11,Old Time Favorites,Blueplate Lunch Counter & Soda Fountain,45.5202471,-122.6741949,,,Oregon
6,11,Old Time Favorites,Don's Hilltop Kodiak Grill,43.6166163,-116.200886,,,Idaho
6,11,Old Time Favorites,La Camoronera Restaurant & Fish Market,25.7742658,-80.1936589,4.0,$$,Florida
6,12,Comfort Cookin',Dottie's True Blue Café,37.7790262,-122.4199061,4.0,$$,California
6,12,Comfort Cookin',Over Easy,33.4484367,-112.0741417,,,Arizona
6,12,Comfort Cookin',Comet Café,43.0349931,-87.922497,4.0,$$,Wisconsin
6,13,Mama's Cookin',Polka Restaurant & Catering,34.0536909,-118.2427666,,,California
6,13,Mama's Cookin',Avila's Café,32.7762719,-96.7968559,,,Texas
6,13,Mama's Cookin',Mama E's,35.4729886,-97.5170536,,,Oklahoma
7,1,Upper Crust,Bunk Sandwiches,45.5202471,-122.6741949,,,Oregon
7,1,Upper Crust,Sonny's Famous Steak Hogies,26.0112014,-80.1494901,4.0,$,Florida
7,1,Upper Crust,The Depot American Diner,41.8755616,-87.6244212,,,Illinois
7,2,"Burgers, Tacos & Dogs",Lankford Grocery,29.7589382,-95.3676974,4.0,$,Texas
7,2,"Burgers, Tacos & Dogs",Fab Hot Dogs,34.2000784,-118.5369884,4.0,$,California
7,2,"Burgers, Tacos & Dogs",Cempazuchi,43.0349931,-87.922497,,,Wisconsin
7,3,Name That Cook,Rick's Press Room & Grill,43.6086295,-116.392326,,,Idaho
7,3,Name That Cook,Nic's Grill,35.4729886,-97.5170536,4.5,$$,Oklahoma
7,3,Name That Cook,Pam's Kitchen,47.6038321,-122.3300624,4.0,$$,Washington
7,4,Global Grub,Prince Lebanese Grill,32.701938999999996,-97.10562379033699,4.5,$$,Texas
7,4,Global Grub,Tre Kronor,41.8755616,-87.6244212,4.0,$$,Illinois
7,4,Global Grub,La Texanita,38.4404925,-122.7141049,,,California
7,5,Only At This Joint,Podnah's Pit Barbeque,45.5202471,-122.6741949,4.0,$$,Oregon
7,5,Only At This Joint,Donnie Mac's Trailer Park Cuisine,43.6166163,-116.200886,,,Idaho
7,5,Only At This Joint,Whale's Rib,26.318342,-80.0996306,4.0,$$,Florida
7,6,You Picked ‘Em,Eischen's Bar & Grill,35.7258795,-97.9764411,4.0,$$,Oklahoma
7,6,You Picked ‘Em,Mom's Tamales,34.0536909,-118.2427666,5.0,,California
7,6,You Picked ‘Em,Kenny & Ziggy's,29.7589382,-95.3676974,,,Texas
7,7,You Can Say That Again,Tap Tap Haitian Restaurant,25.7929198,-80.1353006,,,Florida
7,7,You Can Say That Again,Pok Pok,45.5202471,-122.6741949,4.0,$$,Oregon
7,7,You Can Say That Again,Niko Niko's,29.7589382,-95.3676974,,,Texas
7,8,"Barbequed, Baked & Brined",Honky Tonk BBQ,41.8755616,-87.6244212,3.5,$$,Illinois
7,8,"Barbequed, Baked & Brined",Pizzalchik,43.6166163,-116.200886,,,Idaho
7,8,"Barbequed, Baked & Brined",Lucky's Café,41.5051613,-81.6934446,4.0,$$,Ohio
7,9,Blast from the Past,Cattlemen's Steakhouse,35.4729886,-97.5170536,,,Oklahoma
